,Y1,Y2,pIPO,pH,pL,Pmid,C6p
514,0,1,19.0,18.0,16.0,17.0,11.764705882352938
515,0,0,9.75,8.5,7.0,7.75,25.80645161290323
516,0,1,15.0,15.0,13.0,14.0,7.142857142857142
517,1,0,12.0,16.0,14.0,15.0,0.0
518,1,0,19.0,22.0,20.0,21.0,0.0
519,1,1,11.5,16.0,14.0,15.0,0.0
520,1,1,7.0,9.0,7.0,8.0,0.0
521,0,1,16.5,16.0,14.0,15.0,10.0
522,1,1,8.0,15.0,13.0,14.0,0.0
523,0,1,17.0,16.0,14.0,15.0,13.333333333333336
524,1,1,10.0,13.0,11.0,12.0,0.0
525,1,1,8.0,10.0,9.0,9.5,0.0
526,0,1,15.0,15.0,13.0,14.0,7.142857142857142
527,0,1,10.0,10.0,8.0,9.0,11.111111111111107
528,1,1,5.0,7.5,6.0,6.75,0.0
529,0,1,15.0,13.0,11.0,12.0,25.0
530,1,0,6.0,13.0,11.0,12.0,0.0
531,0,1,14.0,15.0,13.0,14.0,0.0
532,1,0,17.0,20.0,18.0,19.0,0.0
533,0,1,9.5,10.5,8.5,9.5,0.0
534,0,1,12.0,12.0,10.0,11.0,9.090909090909092
535,0,1,10.0,11.0,9.0,10.0,0.0
536,0,0,17.0,18.0,16.0,17.0,0.0
537,0,1,10.5,10.0,8.0,9.0,16.666666666666664
538,0,1,15.0,15.0,13.0,14.0,7.142857142857142
539,0,1,15.0,15.0,13.0,14.0,7.142857142857142
540,1,1,8.0,11.5,9.5,10.5,0.0
541,1,0,22.0,26.0,24.0,25.0,0.0
542,1,1,8.0,11.0,9.0,10.0,0.0
543,1,1,6.0,7.0,6.0,6.5,0.0
544,1,0,10.0,16.0,14.0,15.0,0.0
545,0,0,16.5,17.5,15.5,16.5,0.0
546,0,1,11.0,12.0,10.0,11.0,0.0
547,0,1,17.0,13.0,11.0,12.0,41.66666666666667
548,0,1,18.0,18.0,16.0,17.0,5.882352941176469
549,1,1,9.5,11.5,9.5,10.5,0.0
550,0,1,10.0,9.0,7.5,8.25,21.21212121212121
551,1,1,13.0,15.0,13.0,14.0,0.0
552,0,1,15.0,15.0,13.0,14.0,7.142857142857142
553,0,1,17.0,18.0,16.0,17.0,0.0
554,0,1,17.0,15.0,13.0,14.0,21.428571428571427
555,1,1,18.0,20.0,18.0,19.0,0.0
556,0,1,13.0,13.0,11.0,12.0,8.333333333333332
557,0,1,12.0,11.0,9.0,10.0,20.0
558,1,0,13.0,16.0,14.0,15.0,0.0
559,1,1,10.0,13.0,11.0,12.0,0.0
560,0,0,15.0,,,,0.0
561,1,1,8.0,16.0,14.0,15.0,0.0
562,1,1,16.5,18.0,16.0,17.0,0.0
563,1,0,16.0,22.0,20.0,21.0,0.0
564,1,1,11.0,15.0,13.0,14.0,0.0
565,0,1,12.5,11.5,9.5,10.5,19.047619047619047
566,0,1,13.0,13.0,11.0,12.0,8.333333333333332
567,0,1,16.0,17.0,15.0,16.0,0.0
568,0,1,20.0,21.0,19.0,20.0,0.0
569,0,1,18.0,17.0,15.0,16.0,12.5
570,1,0,10.0,14.0,12.0,13.0,0.0
571,1,0,13.0,16.0,14.0,15.0,0.0
572,1,1,10.0,12.0,11.0,11.5,0.0
573,0,1,21.0,22.0,20.0,21.0,0.0
574,0,1,17.0,15.0,13.0,14.0,21.428571428571427
575,1,0,12.0,17.0,15.0,16.0,0.0
576,0,1,22.0,20.0,18.0,19.0,15.789473684210524
577,1,1,16.5,21.0,19.0,20.0,0.0
578,1,1,7.0,16.0,14.0,15.0,0.0
579,1,1,12.0,14.0,12.0,13.0,0.0
580,1,0,7.0,9.0,8.0,8.5,0.0
581,0,0,16.0,15.0,13.0,14.0,14.285714285714285
582,0,0,8.0,9.0,7.0,8.0,0.0
583,0,1,8.5,9.5,7.5,8.5,0.0
584,1,0,14.0,16.0,14.0,15.0,0.0
585,1,1,9.0,14.5,12.5,13.5,0.0
586,1,1,12.0,16.0,14.0,15.0,0.0
587,1,1,8.0,10.0,9.0,9.5,0.0
588,0,1,15.0,15.0,13.0,14.0,7.142857142857142
589,0,1,19.5,19.5,17.5,18.5,5.405405405405406
590,1,0,13.0,17.0,15.0,16.0,0.0
591,0,1,17.0,16.0,14.0,15.0,13.333333333333336
592,1,1,13.0,15.0,13.0,14.0,0.0
593,1,0,9.0,13.0,11.0,12.0,0.0
594,0,1,12.0,12.5,10.5,11.5,4.3478260869565215
595,1,1,9.0,13.0,11.0,12.0,0.0
596,0,1,17.0,16.0,14.0,15.0,13.333333333333336
597,0,0,,,,,0.0
598,1,0,11.0,13.0,11.0,12.0,0.0
599,1,0,28.0,30.0,28.0,29.0,0.0
600,1,0,14.0,20.5,18.5,19.5,0.0
601,1,0,9.0,13.0,11.0,12.0,0.0
602,0,1,17.0,16.0,14.0,15.0,13.333333333333336
603,0,1,15.0,14.0,12.0,13.0,15.384615384615385
604,0,1,13.0,11.0,9.0,10.0,30.0
605,0,1,13.5,15.0,12.0,13.5,0.0
606,1,0,5.0,14.0,12.0,13.0,0.0
607,0,1,13.0,14.0,12.0,13.0,0.0
608,1,0,7.0,10.0,8.0,9.0,0.0
609,0,1,19.0,17.0,15.0,16.0,18.75
610,0,1,18.0,17.0,15.0,16.0,12.5
611,1,0,9.0,13.0,11.0,12.0,0.0
612,0,0,17.5,17.0,15.0,16.0,9.375
613,1,1,12.0,15.0,13.0,14.0,0.0
614,0,0,3.5,,,,0.0
615,1,0,4.0,13.0,11.0,12.0,0.0
616,0,1,20.0,20.0,18.0,19.0,5.263157894736842
617,0,1,16.0,17.0,15.0,16.0,0.0
618,1,1,15.0,17.0,15.0,16.0,0.0
619,0,1,10.0,11.0,9.0,10.0,0.0
620,1,1,7.0,9.0,7.0,8.0,0.0
621,1,1,14.0,17.0,15.0,16.0,0.0
622,0,0,44.0,42.0,37.0,39.5,11.39240506329114
623,0,1,6.0,7.0,5.0,6.0,0.0
624,1,1,15.0,18.0,16.0,17.0,0.0
625,0,1,16.0,14.0,12.0,13.0,23.07692307692308
626,0,0,17.0,18.0,16.0,17.0,0.0
627,1,1,7.0,9.0,7.0,8.0,0.0
628,0,1,12.0,13.0,11.0,12.0,0.0
629,0,1,19.0,17.0,15.0,16.0,18.75
630,1,1,9.0,12.0,10.0,11.0,0.0
631,1,1,15.0,17.0,15.0,16.0,0.0
632,1,0,10.0,14.0,12.0,13.0,0.0
633,0,1,17.0,18.0,16.0,17.0,0.0
634,0,1,15.0,15.0,13.0,14.0,7.142857142857142
635,1,1,9.0,11.0,9.0,10.0,0.0
636,1,1,8.0,12.0,10.0,11.0,0.0
637,0,1,12.0,11.0,9.0,10.0,20.0
638,1,0,17.0,21.0,19.0,20.0,0.0
639,0,1,16.0,16.0,14.0,15.0,6.666666666666668
640,0,1,17.0,18.0,16.0,17.0,0.0
641,1,1,8.0,12.0,10.0,11.0,0.0
642,1,0,15.0,18.0,16.0,17.0,0.0
643,0,1,22.0,21.0,19.0,20.0,10.0
644,1,0,14.0,16.0,14.0,15.0,0.0
645,0,1,23.0,22.0,21.0,21.5,6.9767441860465125
646,0,1,17.0,16.0,14.0,15.0,13.333333333333336
647,0,1,10.0,11.0,9.0,10.0,0.0
648,1,1,6.0,7.0,6.0,6.5,0.0
649,1,1,9.0,12.0,10.0,11.0,0.0
650,1,0,15.0,17.5,15.5,16.5,0.0
651,0,0,17.5,17.5,15.5,16.5,6.0606060606060606
652,1,0,9.5,11.0,9.0,10.0,0.0
653,0,1,17.0,16.0,14.0,15.0,13.333333333333336
654,1,0,15.0,19.0,17.0,18.0,0.0
655,0,1,28.0,26.0,24.0,25.0,12.0
656,0,0,13.5,14.0,12.0,13.0,3.8461538461538463
657,0,1,10.0,11.0,9.0,10.0,0.0
658,1,0,14.5,18.5,16.5,17.5,0.0
659,0,0,15.5,16.0,14.0,15.0,3.333333333333333
660,1,0,16.0,18.0,16.0,17.0,0.0
661,1,0,17.0,24.0,22.0,23.0,0.0
662,0,1,17.0,17.0,15.0,16.0,6.25
663,0,1,17.0,17.0,15.0,16.0,6.25
664,0,1,8.5,9.0,8.0,8.5,0.0
665,1,0,20.0,25.0,22.0,23.5,0.0
666,0,0,19.0,18.5,16.5,17.5,8.571428571428571
667,1,1,8.0,15.0,13.0,14.0,0.0
668,1,1,7.0,11.0,9.0,10.0,0.0
669,0,1,17.0,16.0,14.0,15.0,13.333333333333336
670,1,1,12.0,16.0,14.0,15.0,0.0
671,1,1,16.0,18.0,16.0,17.0,0.0
672,0,0,19.5,18.5,16.5,17.5,11.428571428571427
673,0,1,20.0,14.0,12.0,13.0,53.84615384615386
674,0,1,6.0,6.5,5.5,6.0,0.0
675,1,0,4.0,14.0,12.0,13.0,0.0
676,1,1,18.0,20.0,18.0,19.0,0.0
677,0,1,18.0,16.0,14.0,15.0,20.0
678,1,1,13.0,16.0,14.0,15.0,0.0
679,0,0,8.0,8.5,7.5,8.0,0.0
680,0,0,19.0,17.0,15.0,16.0,18.75
681,0,0,16.0,16.0,14.0,15.0,6.666666666666668
